FID,id,geom,listaan,kartalle,alakategoria,hankenumero,hanke,hanke_ruotsi,hanke_englanti,sisalto,sisalto_ruotsi,sisalto_englanti,omistaja,laajuus_m2,kust_arvio_me,alkaavuosi,paattyyvuosi,rakentaminen_alkaa,valmistuminen,uudisrakentaminen,korjausrakentaminen,katuosoite,p,i,paivitetty_tietopalveluun,datanomistaja
Helsingin_kaupungin_rakennushankkeet_2018.29,29,POINT (6677071.43 25508125.95),TOSI,TOSI,Sosiaali- ja terveystoimiala,X20170052,Palvelukeskus Albatross Oy,Servicecentralen Albatross Oy,Service centre Albatross Oy,Muutostyöt terveys- ja hyvinvointikeskukselle ja perhekeskukselle,Ändringsarbeten för hälso- och välfärdscenter och familjecenter,Alteration works for a health and welfare centre and a family centre,Kaupunkiympäristön toimiala,7 753,2.9,2017,2018,2017,2018,EPÄTOSI,TOSI,Kahvikuja 3,6677071.43,25508125.95,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.30,30,POINT (6673372.22 25496560),TOSI,TOSI,Kulttuurin ja vapaa-ajan toimiala,X20170053,Keskustakirjasto,Centrumbiblioteket,Central Library,Uudisrakennus (Helsingin osuus),Nybyggnad (Helsingfors andel),New construction (Helsinki's share),Kaupunkiympäristön toimiala,17 000,96,2015,2018,2015,2018,TOSI,EPÄTOSI,Töölönlahdenkatu 1,6673372.22,25496560,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.31,31,POINT (6678124.39 25508746.36),TOSI,TOSI,Muut,X20170054,Staran ja Liv:n Vuosaaren tukikohta,Staras och kultur- och fritidssektorns arbetsstation i Nordsjö,Stara's and the Culture and Leisure Division's work station in Vuosaari,Roihupellon korvaavat tilat,Ersättande lokaler i Kasåker,Temporary premises in Roihupelto,Kaupunkiympäristön toimiala,8 996,21.6,2017,2019,2017,2019,TOSI,EPÄTOSI,Itäreimarintie 5,6678124.39,25508746.36,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.32,32,POINT (6678989.75 25504347.5),TOSI,TOSI,Muut,X20170055,Myllypuron kampus,Campus i Kvarnbäcken,Myllypuro Campus,Myllypuron kampus Metropolia amk. käyttöön,Campus i Kvarnbäcken för Yr.högsk. Metropolias bruk,Campus in Myllypuro for Metropolia UAS's use,Koy,56 000,165,2016,2019,2016,2019,TOSI,EPÄTOSI,,6678989.75,25504347.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.33,33,POINT (6674136.75 25497303.03),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170056,Hakaniemen kauppahalli,Hagnäs saluhall,Hakaniemi Market Hall,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,4 675,12.5,2018,2019,2018,2019,EPÄTOSI,TOSI,Hakaniemen tori,6674136.75,25497303.03,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.34,34,POINT (6677958.35 25498919.83),TOSI,TOSI,Muut,X20170057,"Metropolia, kulttuuriala, Hämeentie 161","Metropolia, kulturbranschen, Tavastvägen 161","Metropolia, faculty of culture, Hämeentie 161",Arabianrannan kampuksen muutostyöt,Ändringsarbeten på campus i Arabiastranden,Alteration works on Arabianranta campus,Kaupunkiympäristön toimiala,,4.6,2018,2019,2018,2019,EPÄTOSI,TOSI,Hämeentie 161,6677958.35,25498919.83,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.35,35,POINT (6675099.49 25498686.26),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170058,Kaupunkiympäristön toimialan yhteinen tilahanke,Stadsmiljösektorns gemensamma lokalprojekt,Urban Environment Division's joint premises project,Uusi vuokrakohde tai Koy,Nytt hyresobjekt eller fastighetsaktiebolag,New rented object or joint-stock property company,Koy tai vuokra,46140,113,2017,2019,2017,2019,TOSI,EPÄTOSI,,6675099.49,25498686.26,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.36,36,POINT (6671335.57 25495046.81),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170059,Jätkäsaaren kadut,Gator i Busholmen,Streets in Jätkäsaari,Projektialueen katujen rakentaminen,Byggande av gator i projektområdet,Construction of streets in the project area,Kaupunkiympäristön toimiala,,,2008,,2008,,TOSI,EPÄTOSI,,6671335.57,25495046.81,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.37,37,POINT (6683090 25493797),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170060,Kuninkaantammen kadut,Gator i Kungseken,Streets in Kuninkaantammi,Projektialueen katujen rakentaminen,Byggande av gator i projektområdet,Construction of streets in the project area,Kaupunkiympäristön toimiala,,,2015,,2015,,TOSI,EPÄTOSI,,6683090,25493797,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.38,38,POINT (6672845.6 25501176.16),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170061,Kruunuvuorenrannan kadut,Gator i Kronbergsstranden,Streets in Kruunuvuorenranta,Projektialueen katujen rakentaminen,Byggande av gator i projektområdet,Construction of streets in the project area,Kaupunkiympäristön toimiala,,,2010,,2010,,TOSI,EPÄTOSI,,6672845.6,25501176.16,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.39,39,POINT (6673518.5 25496539.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170062,Kamppi-Töölönlahti alueen kadut,Gator i Kampen–Tölöviken,Streets in Kamppi–Töölönlahti,Projektialueen katujen rakentaminen,Byggande av gator i projektområdet,Construction of streets in the project area,Kaupunkiympäristön toimiala,,,2016,,2016,,TOSI,EPÄTOSI,,6673518.5,25496539.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.40,40,POINT (6674671.49 25498708.08),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170063,Kalasataman kadut,Gator i Fiskehamnen,Streets in Kalasatama,Projektialueen katujen rakentaminen,Byggande av gator i projektområdet,Construction of streets in the project area,Kaupunkiympäristön toimiala,,,2008,,2008,,TOSI,EPÄTOSI,,6674671.49,25498708.08,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.41,41,POINT (6676110.55 25496190.94),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170064,Pasilan kadut,Gator i Böle,Streets in Pasila,Projektialueen katujen rakentaminen,Byggande av gator i projektområdet,Construction of streets in the project area,Kaupunkiympäristön toimiala,,,2011,,2011,,TOSI,EPÄTOSI,,6676110.55,25496190.94,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.42,42,POINT (6673190 25495568.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170065,Mechelininkadun pyöräkaistat,Cykelfält på Mechelingatan,Bicycle lanes on Mechelininkatu,Kadun poikkileikkauksen muutos,Ändring av gatans genomskärning,Change of the cross section of the street,Kaupunkiympäristön toimiala ja HKL,,12,2017,2019,2017,2019,EPÄTOSI,TOSI,,6673190,25495568.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.43,43,POINT (6671474 25496358.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170066,Hernesaaren ja Telakkarannan kadut ja raitiotie,Ärtholmens och Dockstrandens gator och spårväg,Hernesaari and Telakkaranta streets and tramline,Katu- ja raitiotiejärjestelyt Telakkakatu-Eiranranta,Gatu- och spårvägsarrangemang Docksgatan–Eirastranden,Street and tramline arrangements Telakkakatu-Eiranranta,Kaupunkiympäristön toimiala ja HKL,,,2018,,2018,,TOSI,EPÄTOSI,,6671474,25496358.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.44,44,POINT (6679303 25506843.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170067,Tankovainion asuinalue 2,Broändans bostadsområde 2,Tankovainio housing area 2,Uuden asuinalueen katujen rakentaminen,Byggande av gator i det nya bostadsområdet,Construction of streets in the new housing area,Kaupunkiympäristön toimiala,,4.4,2017,,2017,,TOSI,EPÄTOSI,,6679303,25506843.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.45,45,POINT (6676444 25502129),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170068,Itäväylän melueste,Bullerskärmen vid Österleden,Itäväylä noise barrier,Meluesteen rakentaminen,Byggande av bullerskärm,Construction of a noise barrier,Kaupunkiympäristön toimiala ja HKL,,4.4,2017,2019,2017,2019,TOSI,EPÄTOSI,,6676444,25502129,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.46,46,POINT (6680338 25506121.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170069,Naulakallion asuinalue,Spikbergets bostadsområde,Naulakallio housing area,Uuden asuinalueen katujen rakentaminen,Byggande av gator i det nya bostadsområdet,Construction of streets in the new housing area,Kaupunkiympäristön toimiala,,6.2,2017,,2017,,TOSI,EPÄTOSI,,6680338,25506121.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.47,47,POINT (6675186 25495501.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170070,Mannerheimintie v.Nordenskj.- Reijolankatu,Mannerheimvägen Nordensk.–Reijolagatan,Mannerheimintie v.Nordenskj.–Reijolankatu,"Jalankulun ja pöyräilyn väylät, kadun poikkileikkauksen muutos","Gång- och cykelleder, ändring av gatans genomskärning","Pedestrian and bicycle lanes, change of the cross section of the street",Kaupunkiympäristön toimiala,,1.5,2018,2018,2018,2018,EPÄTOSI,TOSI,,6675186,25495501.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.48,48,POINT (6672704 25496891.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170071,Erottaja,Skillnaden,Erottaja,Perusparannus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,,3.1,2018,2019,2018,2019,EPÄTOSI,TOSI,,6672704,25496891.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.49,49,POINT (6683940.25 25499169.75),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170072,Siltalanpuiston asuinalue,Brobyparkens bostadsområde,Siltalanpuisto housing area,Uuden asuinalueen katujen rakentaminen,Byggande av gator i det nya bostadsområdet,Construction of streets in the new housing area,Kaupunkiympäristön toimiala,,3.4,2017,,2017,,TOSI,EPÄTOSI,,6683940.25,25499169.75,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.50,50,POINT (6681853 25501613.5),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170073,Tullivuorentien eteläpuolen asuinalue,Bostadsområde söder om Tullbergsvägen,Housing area on the south side of Tullivuorentie,Uuden asuinalueen katujen rakentaminen,Byggande av gator i det nya bostadsområdet,Construction of streets in the new housing area,Kaupunkiympäristön toimiala,,4.6,2017,,2017,,TOSI,EPÄTOSI,,6681853,25501613.5,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.51,51,POINT (6684545 25501335),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170074,Maatullinpuiston eteläosan asuinalue,Bostadsområde söder om Landtullsparken,Housing area on the south side of Maatullinpuisto,Uuden asuinalueen katujen rakentaminen,Byggande av gator i det nya bostadsområdet,Construction of streets in the new housing area,Kaupunkiympäristön toimiala,,4.5,2018,,2018,,TOSI,EPÄTOSI,,6684545,25501335,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.52,52,POINT (6671346 25495441.75),TOSI,TOSI,Kulttuurin ja vapaa-ajan toimiala,X20170075,Jätkäsaaren liikuntapuisto,Busholmens idrottspark,Jätkäsaari Sports Park,Uuden liikuntapuiston rakentaminen,Byggande av en ny idrottspark,Construction of a new sports park,Kaupunkiympäristön toimiala,,13,2018,,2018,,TOSI,EPÄTOSI,,6671346,25495441.75,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.53,53,POINT (6674063 25497250.25),TOSI,TOSI,Muut,X20170076,Hakaniemen metroasema,Hagnäs metrostation,Hakaniemi metro station,Metroaseman laajennus ja muutostyö,"Metrostationen, utbyggnad och ändringarbete","Metro station, expansion and alteration work",HKL,,18.2,2016,2019,2017,2019,EPÄTOSI,TOSI,,6674063,25497250.25,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.54,54,POINT (6674998 25497831.25),TOSI,TOSI,Muut,X20170077,Sörnäisten metroasema,Sörnäs metrostation,Sörnäinen metro station,Metroaseman peruskorjaus,Ombyggnad av metrostationen,Rebuilding of the metro station,HKL,,5,2017,2019,2018,2019,EPÄTOSI,TOSI,,6674998,25497831.25,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.55,55,POINT (6678040.5 25498240.25),TOSI,TOSI,Muut,X20170078,Koskelan varikon korjaustyöt,Reparationsarbeten på Forsby depå,Repair on Koskela depot,C-hallin vesikaton uusiminen,Förnyande av C-hallens yttertak,Renewal of the concourse C roof,HKL,,2.7,2018,2018,2018,2018,EPÄTOSI,TOSI,,6678040.5,25498240.25,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.56,56,POINT (6674600.5 25495681.25),TOSI,TOSI,Muut,X20170079,Töölön varikon korjaustyöt,Reparationsarbeten på Tölö depå,Repair on Töölö depot,Lattian ja vesikaton korjaustöitä,Reparationsarbeten på golvet och yttertaket,Repairs on the floor and roof,HKL,,8.7,2018,2019,2018,2019,EPÄTOSI,TOSI,,6674600.5,25495681.25,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.57,57,POINT (6680994 25501123),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170080,Latokartanontien silta,Ladugårdsvägens bro,Latokartanontie bridge,Peruskorjaus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,,1.79,2018,2018,2018,2018,EPÄTOSI,TOSI,,6680994,25501123,2018-04-16,Helsinki/Kanslia
Helsingin_kaupungin_rakennushankkeet_2018.58,58,POINT (6678218.48 25498595.14),TOSI,TOSI,Kaupunkiympäristön toimiala,X20170081,Koskelantien risteyssillat,Forsbyvägens broar,Koskelantie bridges,Peruskorjaus,Ombyggnad,Rebuilding,Kaupunkiympäristön toimiala,,2.8,2018,2018,2018,2018,EPÄTOSI,TOSI,,6678218.48,25498595.14,2018-04-16,Helsinki/Kanslia
